population,state,county
51113,Ohio,Darke
38087,Ohio,Defiance
209177,Ohio,Delaware
74266,Ohio,Erie
157574,Ohio,Fairfield
28525,Ohio,Fayette
1316756,Ohio,Franklin
42126,Ohio,Fulton
29898,Ohio,Gallia
93649,Ohio,Geauga
168937,Ohio,Greene
38875,Ohio,Guernsey
817473,Ohio,Hamilton
75783,Ohio,Hancock
31365,Ohio,Hardin
15040,Ohio,Harrison
27006,Ohio,Henry
43161,Ohio,Highland
28264,Ohio,Hocking
43960,Ohio,Holmes
58266,Ohio,Huron
32413,Ohio,Jackson
65325,Ohio,Jefferson
62322,Ohio,Knox
230149,Ohio,Lake
59463,Ohio,Lawrence
176862,Ohio,Licking
45672,Ohio,Logan
309833,Ohio,Lorain
428348,Ohio,Lucas
44731,Ohio,Madison
228683,Ohio,Mahoning
65093,Ohio,Marion
179746,Ohio,Medina
22907,Ohio,Meigs
41172,Ohio,Mercer
106987,Ohio,Miami
13654,Ohio,Monroe
531687,Ohio,Montgomery
14508,Ohio,Morgan
35328,Ohio,Morrow
86215,Ohio,Muskingum
14424,Ohio,Noble
40525,Ohio,Ottawa
18672,Ohio,Paulding
36134,Ohio,Perry
58457,Ohio,Pickaway
27772,Ohio,Pike
162466,Ohio,Portage
40882,Ohio,Preble
33861,Ohio,Putnam
121154,Ohio,Richland
76666,Ohio,Ross
58518,Ohio,Sandusky
75314,Ohio,Scioto
55178,Ohio,Seneca
48590,Ohio,Shelby
370606,Ohio,Stark
541013,Ohio,Summit
197974,Ohio,Trumbull
91987,Ohio,Tuscarawas
58988,Ohio,Union
28275,Ohio,Van Wert
13085,Ohio,Vinton
234602,Ohio,Warren
59911,Ohio,Washington
115710,Ohio,Wayne
36692,Ohio,Williams
130817,Ohio,Wood
21772,Ohio,Wyandot
22194,Oklahoma,Adair
5702,Oklahoma,Alfalfa
13758,Oklahoma,Atoka
5311,Oklahoma,Beaver
21859,Oklahoma,Beckham
9429,Oklahoma,Blaine
47995,Oklahoma,Bryan
28762,Oklahoma,Caddo
148306,Oklahoma,Canadian
48111,Oklahoma,Carter
48657,Oklahoma,Cherokee
14672,Oklahoma,Choctaw
2137,Oklahoma,Cimarron
284014,Oklahoma,Cleveland
5495,Oklahoma,Coal
120749,Oklahoma,Comanche
5666,Oklahoma,Cotton
14142,Oklahoma,Craig
71522,Oklahoma,Creek
29003,Oklahoma,Custer
43009,Oklahoma,Delaware
4891,Oklahoma,Dewey
3859,Oklahoma,Ellis
61056,Oklahoma,Garfield
27711,Oklahoma,Garvin
55834,Oklahoma,Grady
4333,Oklahoma,Grant
5712,Oklahoma,Greer
2653,Oklahoma,Harmon
3688,Oklahoma,Harper
12627,Oklahoma,Haskell
13279,Oklahoma,Hughes
24530,Oklahoma,Jackson
6002,Oklahoma,Jefferson
11085,Oklahoma,Johnston
43538,Oklahoma,Kay
15765,Oklahoma,Kingfisher
8708,Oklahoma,Kiowa
10073,Oklahoma,Latimer
49853,Oklahoma,Le Flore
34877,Oklahoma,Lincoln
48011,Oklahoma,Logan
10253,Oklahoma,Love
40474,Oklahoma,McClain
32832,Oklahoma,McCurtain
19596,Oklahoma,McIntosh
7629,Oklahoma,Major
16931,Oklahoma,Marshall
41100,Oklahoma,Mayes
14073,Oklahoma,Murray
67997,Oklahoma,Muskogee
11131,Oklahoma,Noble
10076,Oklahoma,Nowata
11993,Oklahoma,Okfuskee
797434,Oklahoma,Oklahoma
38465,Oklahoma,Okmulgee
46963,Oklahoma,Osage
31127,Oklahoma,Ottawa
16376,Oklahoma,Pawnee
81784,Oklahoma,Payne
43654,Oklahoma,Pittsburg
38284,Oklahoma,Pontotoc
72592,Oklahoma,Pottawatomie
11096,Oklahoma,Pushmataha
3583,Oklahoma,Roger Mills
92459,Oklahoma,Rogers
24258,Oklahoma,Seminole
41569,Oklahoma,Sequoyah
43143,Oklahoma,Stephens
19983,Oklahoma,Texas
7250,Oklahoma,Tillman
651552,Oklahoma,Tulsa
81289,Oklahoma,Wagoner
51527,Oklahoma,Washington
10916,Oklahoma,Washita
8793,Oklahoma,Woods
20211,Oklahoma,Woodward
16124,Oregon,Baker
93053,Oregon,Benton
418187,Oregon,Clackamas
40224,Oregon,Clatsop
52354,Oregon,Columbia
64487,Oregon,Coos
24404,Oregon,Crook
22925,Oregon,Curry
197692,Oregon,Deschutes
110980,Oregon,Douglas
1912,Oregon,Gilliam
7199,Oregon,Grant
7393,Oregon,Harney
23382,Oregon,Hood River
220944,Oregon,Jackson
24658,Oregon,Jefferson
87487,Oregon,Josephine
68238,Oregon,Klamath
7869,Oregon,Lake
382067,Oregon,Lane
49962,Oregon,Lincoln
129749,Oregon,Linn
30571,Oregon,Malheur
347818,Oregon,Marion
11603,Oregon,Morrow
812855,Oregon,Multnomah
86085,Oregon,Polk
1780,Oregon,Sherman
27036,Oregon,Tillamook
77950,Oregon,Umatilla
26835,Oregon,Union
7208,Oregon,Wallowa
26682,Oregon,Wasco
601592,Oregon,Washington
1332,Oregon,Wheeler
107100,Oregon,Yamhill
103009,Pennsylvania,Adams
1216045,Pennsylvania,Allegheny
64735,Pennsylvania,Armstrong
163929,Pennsylvania,Beaver
47888,Pennsylvania,Bedford
421164,Pennsylvania,Berks
121829,Pennsylvania,Blair
60323,Pennsylvania,Bradford
628270,Pennsylvania,Bucks
187853,Pennsylvania,Butler
130192,Pennsylvania,Cambria
4447,Pennsylvania,Cameron
64182,Pennsylvania,Carbon
162385,Pennsylvania,Centre
524989,Pennsylvania,Chester
38438,Pennsylvania,Clarion
79255,Pennsylvania,Clearfield
38632,Pennsylvania,Clinton
64964,Pennsylvania,Columbia
84629,Pennsylvania,Crawford
253370,Pennsylvania,Cumberland
278299,Pennsylvania,Dauphin
566747,Pennsylvania,Delaware
29910,Pennsylvania,Elk
269728,Pennsylvania,Erie
129274,Pennsylvania,Fayette
7247,Pennsylvania,Forest
155027,Pennsylvania,Franklin
14530,Pennsylvania,Fulton
36233,Pennsylvania,Greene
45144,Pennsylvania,Huntingdon
84073,Pennsylvania,Indiana
43425,Pennsylvania,Jefferson
24763,Pennsylvania,Juniata
209674,Pennsylvania,Lackawanna
545724,Pennsylvania,Lancaster
85512,Pennsylvania,Lawrence
141793,Pennsylvania,Lebanon
369318,Pennsylvania,Lehigh
317417,Pennsylvania,Luzerne
113299,Pennsylvania,Lycoming
40625,Pennsylvania,McKean
109424,Pennsylvania,Mercer
46138,Pennsylvania,Mifflin
170271,Pennsylvania,Monroe
830915,Pennsylvania,Montgomery
18230,Pennsylvania,Montour
305285,Pennsylvania,Northampton
90843,Pennsylvania,Northumberland
46272,Pennsylvania,Perry
1584064,Pennsylvania,Philadelphia
55809,Pennsylvania,Pike
16526,Pennsylvania,Potter
141359,Pennsylvania,Schuylkill
40372,Pennsylvania,Snyder
73447,Pennsylvania,Somerset
6066,Pennsylvania,Sullivan
40328,Pennsylvania,Susquehanna
40591,Pennsylvania,Tioga
44923,Pennsylvania,Union
50668,Pennsylvania,Venango
39191,Pennsylvania,Warren
206865,Pennsylvania,Washington
51361,Pennsylvania,Wayne
348899,Pennsylvania,Westmoreland
26794,Pennsylvania,Wyoming
449058,Pennsylvania,York
1059361,Rhode Island,Rhode Island
48479,Rhode Island,Bristol
164292,Rhode Island,Kent
82082,Rhode Island,Newport
638931,Rhode Island,Providence
125577,Rhode Island,Washington
5148714,South Carolina,South Carolina
24527,South Carolina,Abbeville
170872,South Carolina,Aiken
8688,South Carolina,Allendale
202558,South Carolina,Anderson
14066,South Carolina,Bamberg
20866,South Carolina,Barnwell
192122,South Carolina,Beaufort
227907,South Carolina,Berkeley
14553,South Carolina,Calhoun
411406,South Carolina,Charleston
57300,South Carolina,Cherokee
32244,South Carolina,Chester
45650,South Carolina,Chesterfield
33745,South Carolina,Clarendon
37677,South Carolina,Colleton
66618,South Carolina,Darlington
30479,South Carolina,Dillon
162809,South Carolina,Dorchester
27260,South Carolina,Edgefield
22347,South Carolina,Fairfield
138293,South Carolina,Florence
62680,South Carolina,Georgetown
523542,South Carolina,Greenville
70811,South Carolina,Greenwood
19222,South Carolina,Hampton
354081,South Carolina,Horry
30073,South Carolina,Jasper
66551,South Carolina,Kershaw
98012,South Carolina,Lancaster
67493,South Carolina,Laurens
16828,South Carolina,Lee
298750,South Carolina,Lexington
9463,South Carolina,McCormick
30657,South Carolina,Marion
26118,South Carolina,Marlboro
38440,South Carolina,Newberry
79546,South Carolina,Oconee
86175,South Carolina,Orangeburg
126884,South Carolina,Pickens
415759,South Carolina,Richland
20473,South Carolina,Saluda
319785,South Carolina,Spartanburg
106721,South Carolina,Sumter
27316,South Carolina,Union
30368,South Carolina,Williamsburg
280979,South Carolina,York
884659,South Dakota,South Dakota
2751,South Dakota,Aurora
18453,South Dakota,Beadle
3365,South Dakota,Bennett
6901,South Dakota,Bon Homme
35077,South Dakota,Brookings
38839,South Dakota,Brown
5297,South Dakota,Brule
1962,South Dakota,Buffalo
10429,South Dakota,Butte
1376,South Dakota,Campbell
9292,South Dakota,Charles Mix
3736,South Dakota,Clark
14070,South Dakota,Clay
28009,South Dakota,Codington
4086,South Dakota,Corson
8972,South Dakota,Custer
19775,South Dakota,Davison
5424,South Dakota,Day
4351,South Dakota,Deuel
5892,South Dakota,Dewey
2921,South Dakota,Douglas
3829,South Dakota,Edmunds
6713,South Dakota,Fall River
2299,South Dakota,Faulk
7052,South Dakota,Grant
4185,South Dakota,Gregory
1899,South Dakota,Haakon
6164,South Dakota,Hamlin
3191,South Dakota,Hand
3453,South Dakota,Hanson
1298,South Dakota,Harding
17526,South Dakota,Hughes
7291,South Dakota,Hutchinson
1301,South Dakota,Hyde
3344,South Dakota,Jackson
2013,South Dakota,Jerauld
903,South Dakota,Jones
4939,South Dakota,Kingsbury
12797,South Dakota,Lake
25844,South Dakota,Lawrence
61128,South Dakota,Lincoln
3781,South Dakota,Lyman
5586,South Dakota,McCook
2379,South Dakota,McPherson
4935,South Dakota,Marshall
28332,South Dakota,Meade
2061,South Dakota,Mellette
2216,South Dakota,Miner
193134,South Dakota,Minnehaha
6576,South Dakota,Moody
14177,South Dakota,Oglala Lakota
113775,South Dakota,Pennington
2865,South Dakota,Perkins
2153,South Dakota,Potter
10394,South Dakota,Roberts
2344,South Dakota,Sanborn
6376,South Dakota,Spink
3098,South Dakota,Stanley
1391,South Dakota,Sully
10177,South Dakota,Todd
5441,South Dakota,Tripp
8384,South Dakota,Turner
15932,South Dakota,Union
5435,South Dakota,Walworth
22814,South Dakota,Yankton
2756,South Dakota,Ziebach
76978,Tennessee,Anderson
49713,Tennessee,Bedford
16160,Tennessee,Benton
15064,Tennessee,Bledsoe
133088,Tennessee,Blount
108110,Tennessee,Bradley
39842,Tennessee,Campbell
14678,Tennessee,Cannon
27767,Tennessee,Carroll
56391,Tennessee,Carter
40667,Tennessee,Cheatham
17297,Tennessee,Chester
31959,Tennessee,Claiborne
7615,Tennessee,Clay
36004,Tennessee,Cocke
56520,Tennessee,Coffee
14230,Tennessee,Crockett
60520,Tennessee,Cumberland
694144,Tennessee,Davidson
11663,Tennessee,Decatur
20490,Tennessee,DeKalb
53948,Tennessee,Dickson
37159,Tennessee,Dyer
41133,Tennessee,Fayette
18523,Tennessee,Fentress
42208,Tennessee,Franklin
49133,Tennessee,Gibson
29464,Tennessee,Giles
23320,Tennessee,Grainger
69069,Tennessee,Greene
13427,Tennessee,Grundy
64934,Tennessee,Hamblen
367804,Tennessee,Hamilton
6620,Tennessee,Hancock
25050,Tennessee,Hardeman
25652,Tennessee,Hardin
56786,Tennessee,Hawkins
17304,Tennessee,Haywood
28117,Tennessee,Henderson
32345,Tennessee,Henry
25178,Tennessee,Hickman
8201,Tennessee,Houston
18582,Tennessee,Humphreys
11786,Tennessee,Jackson
54495,Tennessee,Jefferson
17788,Tennessee,Johnson
470313,Tennessee,Knox
7016,Tennessee,Lake
25633,Tennessee,Lauderdale
44142,Tennessee,Lawrence
12268,Tennessee,Lewis
34366,Tennessee,Lincoln
54068,Tennessee,Loudon
53794,Tennessee,McMinn
25694,Tennessee,McNairy
24602,Tennessee,Macon
97984,Tennessee,Madison
28907,Tennessee,Marion
34375,Tennessee,Marshall
96387,Tennessee,Maury
12422,Tennessee,Meigs
46545,Tennessee,Monroe
208993,Tennessee,Montgomery
6488,Tennessee,Moore
21403,Tennessee,Morgan
30069,Tennessee,Obion
22241,Tennessee,Overton
8076,Tennessee,Perry
5048,Tennessee,Pickett
16832,Tennessee,Polk
80245,Tennessee,Putnam
33167,Tennessee,Rhea
53382,Tennessee,Roane
71813,Tennessee,Robertson
332285,Tennessee,Rutherford
22068,Tennessee,Scott
15026,Tennessee,Sequatchie
98250,Tennessee,Sevier
937166,Tennessee,Shelby
20157,Tennessee,Smith
13715,Tennessee,Stewart
158348,Tennessee,Sullivan
191283,Tennessee,Sumner
61599,Tennessee,Tipton
11284,Tennessee,Trousdale
17883,Tennessee,Unicoi
19972,Tennessee,Union
5872,Tennessee,Van Buren
41277,Tennessee,Warren
129375,Tennessee,Washington
16673,Tennessee,Wayne
33328,Tennessee,Weakley
27345,Tennessee,White
238412,Tennessee,Williamson
144657,Tennessee,Wilson
57735,Texas,Anderson
18705,Texas,Andrews
86715,Texas,Angelina
23510,Texas,Aransas
8553,Texas,Archer
1887,Texas,Armstrong
51153,Texas,Atascosa
30032,Texas,Austin
7000,Texas,Bailey
23112,Texas,Bandera
88723,Texas,Bastrop
3509,Texas,Baylor
32565,Texas,Bee
362924,Texas,Bell
2003554,Texas,Bexar
11931,Texas,Blanco
654,Texas,Borden
18685,Texas,Bosque
93245,Texas,Bowie
374264,Texas,Brazoria
229211,Texas,Brazos
9203,Texas,Brewster
1546,Texas,Briscoe
7093,Texas,Brooks
37864,Texas,Brown
18443,Texas,Burleson
48155,Texas,Burnet
43664,Texas,Caldwell
21290,Texas,Calhoun
13943,Texas,Callahan
423163,Texas,Cameron
13094,Texas,Camp
5926,Texas,Carson
30026,Texas,Cass
7530,Texas,Castro
43837,Texas,Chambers
52646,Texas,Cherokee
7306,Texas,Childress
10471,Texas,Clay
2853,Texas,Cochran
3387,Texas,Coke
8175,Texas,Coleman
1034730,Texas,Collin
2920,Texas,Collingsworth
21493,Texas,Colorado
156209,Texas,Comal
13635,Texas,Comanche
2726,Texas,Concho
41257,Texas,Cooke
75951,Texas,Coryell
1398,Texas,Cottle
4797,Texas,Crane
3464,Texas,Crockett
5737,Texas,Crosby
2171,Texas,Culberson
7287,Texas,Dallam
2635516,Texas,Dallas
12728,Texas,Dawson
18546,Texas,Deaf Smith
5331,Texas,Delta
887207,Texas,Denton
20160,Texas,DeWitt
2211,Texas,Dickens
10124,Texas,Dimmit
3278,Texas,Donley
11157,Texas,Duval
18360,Texas,Eastland
166223,Texas,Ector
1932,Texas,Edwards
184826,Texas,Ellis
839238,Texas,El Paso
42698,Texas,Erath
17297,Texas,Falls
35514,Texas,Fannin
25346,Texas,Fayette
3830,Texas,Fisher
5712,Texas,Floyd
1155,Texas,Foard
811688,Texas,Fort Bend
10725,Texas,Franklin
19717,Texas,Freestone
20306,Texas,Frio
21492,Texas,Gaines
342139,Texas,Galveston
6229,Texas,Garza
26988,Texas,Gillespie
1409,Texas,Glasscock
7658,Texas,Goliad
20837,Texas,Gonzales
21886,Texas,Gray
136212,Texas,Grayson
123945,Texas,Gregg
28880,Texas,Grimes
166847,Texas,Guadalupe
33406,Texas,Hale
2964,Texas,Hall
8461,Texas,Hamilton
5399,Texas,Hansford
3933,Texas,Hardeman
57602,Texas,Hardin
4713325,Texas,Harris
66553,Texas,Harrison
5576,Texas,Hartley
5658,Texas,Haskell
230191,Texas,Hays
3819,Texas,Hemphill
82737,Texas,Henderson
868707,Texas,Hidalgo
36649,Texas,Hill
23021,Texas,Hockley
61643,Texas,Hood
37084,Texas,Hopkins
22968,Texas,Houston
36664,Texas,Howard
4886,Texas,Hudspeth
98594,Texas,Hunt
20938,Texas,Hutchinson
1536,Texas,Irion
8935,Texas,Jack
14760,Texas,Jackson
35529,Texas,Jasper
2274,Texas,Jeff Davis
251565,Texas,Jefferson
5200,Texas,Jim Hogg
40482,Texas,Jim Wells
175817,Texas,Johnson
20083,Texas,Jones
15601,Texas,Karnes
136154,Texas,Kaufman
47431,Texas,Kendall
404,Texas,Kenedy
762,Texas,Kent
52600,Texas,Kerr
4337,Texas,Kimble
272,Texas,King
3667,Texas,Kinney
30680,Texas,Kleberg
3664,Texas,Knox
49859,Texas,Lamar
12893,Texas,Lamb
21428,Texas,Lampasas
7520,Texas,La Salle
20154,Texas,Lavaca
17239,Texas,Lee
17404,Texas,Leon
88219,Texas,Liberty
23437,Texas,Limestone
3233,Texas,Lipscomb
12207,Texas,Live Oak
21795,Texas,Llano
169,Texas,Loving
310569,Texas,Lubbock
5951,Texas,Lynn
7984,Texas,McCulloch
256623,Texas,McLennan
743,Texas,McMullen
14284,Texas,Madison
9854,Texas,Marion
5771,Texas,Martin
4274,Texas,Mason
36643,Texas,Matagorda
58722,Texas,Maverick
51584,Texas,Medina
2138,Texas,Menard
176832,Texas,Midland
24823,Texas,Milam
4873,Texas,Mills
8545,Texas,Mitchell
19818,Texas,Montague
607391,Texas,Montgomery
20940,Texas,Moore
12388,Texas,Morris
1200,Texas,Motley
65204,Texas,Nacogdoches
50113,Texas,Navarro
13595,Texas,Newton
14714,Texas,Nolan
362294,Texas,Nueces
9836,Texas,Ochiltree
2112,Texas,Oldham
83396,Texas,Orange
29189,Texas,Palo Pinto
23194,Texas,Panola
142878,Texas,Parker
9605,Texas,Parmer
15823,Texas,Pecos
51353,Texas,Polk
117415,Texas,Potter
6704,Texas,Presidio
12514,Texas,Rains
137713,Texas,Randall
3849,Texas,Reagan
3452,Texas,Real
12023,Texas,Red River
15976,Texas,Reeves
6948,Texas,Refugio
854,Texas,Roberts
17074,Texas,Robertson
104915,Texas,Rockwall
10264,Texas,Runnels
54406,Texas,Rusk
10542,Texas,Sabine
8237,Texas,San Augustine
28859,Texas,San Jacinto
66730,Texas,San Patricio
6055,Texas,San Saba
2793,Texas,Schleicher
16703,Texas,Scurry
3265,Texas,Shackelford
25274,Texas,Shelby
3022,Texas,Sherman
232751,Texas,Smith
9128,Texas,Somervell
64633,Texas,Starr
9366,Texas,Stephens
1291,Texas,Sterling
1350,Texas,Stonewall
3776,Texas,Sutton
7397,Texas,Swisher
2102515,Texas,Tarrant
138034,Texas,Taylor
776,Texas,Terrell
12337,Texas,Terry
1501,Texas,Throckmorton
32750,Texas,Titus
119200,Texas,Tom Green
1273954,Texas,Travis
14651,Texas,Trinity
21672,Texas,Tyler
41753,Texas,Upshur
3657,Texas,Upton
26741,Texas,Uvalde
49025,Texas,Val Verde
56590,Texas,Van Zandt
92084,Texas,Victoria
72971,Texas,Walker
55246,Texas,Waller
11998,Texas,Ward
35882,Texas,Washington
276652,Texas,Webb
41556,Texas,Wharton
5056,Texas,Wheeler
132230,Texas,Wichita
12769,Texas,Wilbarger
21358,Texas,Willacy
590551,Texas,Williamson
51070,Texas,Wilson
8010,Texas,Winkler
69984,Texas,Wise
45539,Texas,Wood
8713,Texas,Yoakum
18010,Texas,Young
14179,Texas,Zapata
11840,Texas,Zavala
6710,Utah,Beaver
56046,Utah,Box Elder
128289,Utah,Cache
20463,Utah,Carbon
950,Utah,Daggett
355481,Utah,Davis
19938,Utah,Duchesne
10012,Utah,Emery
5051,Utah,Garfield
9754,Utah,Grand
54839,Utah,Iron
12017,Utah,Juab
7886,Utah,Kane
13188,Utah,Millard
12124,Utah,Morgan
1479,Utah,Piute
2483,Utah,Rich
1160437,Utah,Salt Lake
15308,Utah,San Juan
30939,Utah,Sanpete
21620,Utah,Sevier
42145,Utah,Summit
72259,Utah,Tooele
35734,Utah,Uintah
636235,Utah,Utah
34091,Utah,Wasatch
177556,Utah,Washington
2711,Utah,Wayne
260213,Utah,Weber
36777,Vermont,Addison
35470,Vermont,Bennington
29993,Vermont,Caledonia
163774,Vermont,Chittenden
6163,Vermont,Essex
49402,Vermont,Franklin
7235,Vermont,Grand Isle
25362,Vermont,Lamoille
28892,Vermont,Orange
27037,Vermont,Orleans
58191,Vermont,Rutland
58409,Vermont,Washington
42222,Vermont,Windham
55062,Vermont,Windsor
32316,Virginia,Accomack
109330,Virginia,Albemarle
14860,Virginia,Alleghany
13145,Virginia,Amelia
31605,Virginia,Amherst
15911,Virginia,Appomattox
236842,Virginia,Arlington
75558,Virginia,Augusta
4147,Virginia,Bath
78997,Virginia,Bedford
6280,Virginia,Bland
33419,Virginia,Botetourt
16231,Virginia,Brunswick
21004,Virginia,Buchanan
17148,Virginia,Buckingham
54885,Virginia,Campbell
30725,Virginia,Caroline
29791,Virginia,Carroll
6963,Virginia,Charles City
11880,Virginia,Charlotte
352802,Virginia,Chesterfield
14619,Virginia,Clarke
5131,Virginia,Craig
52605,Virginia,Culpeper
9932,Virginia,Cumberland
14318,Virginia,Dickenson
28544,Virginia,Dinwiddie
10953,Virginia,Essex
1147532,Virginia,Fairfax
71222,Virginia,Fauquier
15749,Virginia,Floyd
27270,Virginia,Fluvanna
56042,Virginia,Franklin
89313,Virginia,Frederick
16720,Virginia,Giles
37348,Virginia,Gloucester
23753,Virginia,Goochland
15550,Virginia,Grayson
19819,Virginia,Greene
11336,Virginia,Greensville
33911,Virginia,Halifax
107766,Virginia,Hanover
330818,Virginia,Henrico
50557,Virginia,Henry
2190,Virginia,Highland
37109,Virginia,Isle of Wight
76523,Virginia,James City
7025,Virginia,King and Queen
26836,Virginia,King George
17148,Virginia,King William
10603,Virginia,Lancaster
23423,Virginia,Lee
413538,Virginia,Loudoun
37591,Virginia,Louisa
12196,Virginia,Lunenburg
13261,Virginia,Madison
8834,Virginia,Mathews
30587,Virginia,Mecklenburg
10582,Virginia,Middlesex
98535,Virginia,Montgomery
14930,Virginia,Nelson
23091,Virginia,New Kent
11710,Virginia,Northampton
12095,Virginia,Northumberland
15232,Virginia,Nottoway
37051,Virginia,Orange
23902,Virginia,Page
17608,Virginia,Patrick
60354,Virginia,Pittsylvania
29652,Virginia,Powhatan
22802,Virginia,Prince Edward
38353,Virginia,Prince George
470335,Virginia,Prince William
34027,Virginia,Pulaski
7370,Virginia,Rappahannock
9023,Virginia,Richmond
94186,Virginia,Roanoke
22573,Virginia,Rockbridge
81948,Virginia,Rockingham
26586,Virginia,Russell
21566,Virginia,Scott
43616,Virginia,Shenandoah
30104,Virginia,Smyth
17631,Virginia,Southampton
136215,Virginia,Spotsylvania
152882,Virginia,Stafford
6422,Virginia,Surry
11159,Virginia,Sussex
40595,Virginia,Tazewell
40164,Virginia,Warren
53740,Virginia,Washington
18015,Virginia,Westmoreland
37383,Virginia,Wise
28684,Virginia,Wythe
68280,Virginia,York
159428,Virginia,Alexandria city
16762,Virginia,Bristol city
6478,Virginia,Buena Vista city
47266,Virginia,Charlottesville city
244835,Virginia,Chesapeake city
17370,Virginia,Colonial Heights city
5538,Virginia,Covington city
40044,Virginia,Danville city
5346,Virginia,Emporia city
24019,Virginia,Fairfax city
14617,Virginia,Falls Church city
7967,Virginia,Franklin city
29036,Virginia,Fredericksburg city
6347,Virginia,Galax city
134510,Virginia,Hampton city
53016,Virginia,Harrisonburg city
22529,Virginia,Hopewell city
7446,Virginia,Lexington city
82168,Virginia,Lynchburg city
41085,Virginia,Manassas city
17478,Virginia,Manassas Park city
12554,Virginia,Martinsville city
179225,Virginia,Newport News city
242742,Virginia,Norfolk city
3981,Virginia,Norton city
31346,Virginia,Petersburg city
12271,Virginia,Poquoson city
94398,Virginia,Portsmouth city
18249,Virginia,Radford city
230436,Virginia,Richmond city
99143,Virginia,Roanoke city
25301,Virginia,Salem city
24932,Virginia,Staunton city
92108,Virginia,Suffolk city
449974,Virginia,Virginia Beach city
22630,Virginia,Waynesboro city
14954,Virginia,Williamsburg city
28078,Virginia,Winchester city
19983,Washington,Adams
22582,Washington,Asotin
204390,Washington,Benton
77200,Washington,Chelan
77331,Washington,Clallam
488241,Washington,Clark
3985,Washington,Columbia
110593,Washington,Cowlitz
43429,Washington,Douglas
7627,Washington,Ferry
95222,Washington,Franklin
2225,Washington,Garfield
97733,Washington,Grant
75061,Washington,Grays Harbor
85141,Washington,Island
32221,Washington,Jefferson
2252782,Washington,King
271473,Washington,Kitsap
47935,Washington,Kittitas
22425,Washington,Klickitat
80707,Washington,Lewis
10939,Washington,Lincoln
66768,Washington,Mason
42243,Washington,Okanogan
22471,Washington,Pacific
13724,Washington,Pend Oreille
904980,Washington,Pierce
17582,Washington,San Juan
129205,Washington,Skagit
12083,Washington,Skamania
822083,Washington,Snohomish
522798,Washington,Spokane
45723,Washington,Stevens
290536,Washington,Thurston
4488,Washington,Wahkiakum
60760,Washington,Walla Walla
229247,Washington,Whatcom
50104,Washington,Whitman
250873,Washington,Yakima
1792147,West Virginia,West Virginia
16441,West Virginia,Barbour
119171,West Virginia,Berkeley
21457,West Virginia,Boone
13957,West Virginia,Braxton
21939,West Virginia,Brooke
91945,West Virginia,Cabell
7109,West Virginia,Calhoun
8508,West Virginia,Clay
8448,West Virginia,Doddridge
42406,West Virginia,Fayette
7823,West Virginia,Gilmer
11568,West Virginia,Grant
34662,West Virginia,Greenbrier
23175,West Virginia,Hampshire
28810,West Virginia,Hancock
13776,West Virginia,Hardy
67256,West Virginia,Harrison
28576,West Virginia,Jackson
57146,West Virginia,Jefferson
178124,West Virginia,Kanawha
15907,West Virginia,Lewis
20409,West Virginia,Lincoln
32019,West Virginia,Logan
17624,West Virginia,McDowell
56072,West Virginia,Marion
30531,West Virginia,Marshall
26516,West Virginia,Mason
58758,West Virginia,Mercer
26868,West Virginia,Mineral
23424,West Virginia,Mingo
105612,West Virginia,Monongalia
13275,West Virginia,Monroe
17884,West Virginia,Morgan
24496,West Virginia,Nicholas
41411,West Virginia,Ohio
6969,West Virginia,Pendleton
7460,West Virginia,Pleasants
8247,West Virginia,Pocahontas
33432,West Virginia,Preston
56450,West Virginia,Putnam
73361,West Virginia,Raleigh
28695,West Virginia,Randolph
9554,West Virginia,Ritchie
13688,West Virginia,Roane
12573,West Virginia,Summers
16695,West Virginia,Taylor
6839,West Virginia,Tucker
8591,West Virginia,Tyler
24176,West Virginia,Upshur
39402,West Virginia,Wayne
8114,West Virginia,Webster
15065,West Virginia,Wetzel
5821,West Virginia,Wirt
83518,West Virginia,Wood
20394,West Virginia,Wyoming
20220,Wisconsin,Adams
15562,Wisconsin,Ashland
45244,Wisconsin,Barron
15036,Wisconsin,Bayfield
264542,Wisconsin,Brown
13031,Wisconsin,Buffalo
15414,Wisconsin,Burnett
50089,Wisconsin,Calumet
64658,Wisconsin,Chippewa
34774,Wisconsin,Clark
57532,Wisconsin,Columbia
16131,Wisconsin,Crawford
546695,Wisconsin,Dane
87839,Wisconsin,Dodge
27668,Wisconsin,Door
43150,Wisconsin,Douglas
45368,Wisconsin,Dunn
104646,Wisconsin,Eau Claire
4295,Wisconsin,Florence
103403,Wisconsin,Fond du Lac
9004,Wisconsin,Forest
51439,Wisconsin,Grant
36960,Wisconsin,Green
18913,Wisconsin,Green Lake
23678,Wisconsin,Iowa
5687,Wisconsin,Iron
20643,Wisconsin,Jackson
84769,Wisconsin,Jefferson
26687,Wisconsin,Juneau
169561,Wisconsin,Kenosha
20434,Wisconsin,Kewaunee
118016,Wisconsin,La Crosse
16665,Wisconsin,Lafayette
19189,Wisconsin,Langlade
27593,Wisconsin,Lincoln
78981,Wisconsin,Manitowoc
135692,Wisconsin,Marathon
40350,Wisconsin,Marinette
15574,Wisconsin,Marquette
4556,Wisconsin,Menominee
945726,Wisconsin,Milwaukee
46253,Wisconsin,Monroe
37930,Wisconsin,Oconto
35595,Wisconsin,Oneida
187885,Wisconsin,Outagamie
